gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,scalar,8,partial,16.224000602960587,16.448000445961952,0.23990439635749716,500,0.00048828125,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,scalar,8,full,20.320000126957893,20.447999238967896,0.15046497752749402,500,0.00048828125,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,scalar,8,merge,6.943999789655209,8.1599997356534,0.6186332621809533,500,0.00048828125,0.9999952912330627,20260829
