gpu,batch,num_heads,num_kv_heads,dtype,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,16,full,12.095999903976917,12.319999746978283,0.22323899197428873,500,0.00048828125,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,16,merge,6.688000168651342,7.168000098317862,0.4731463099232746,500,0.00048828125,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,16,partial,10.03200002014637,10.27199998497963,0.2145963412972197,500,0.00048828125,0.9999952912330627,20260829
