gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,per_token_head,8,merge,6.976000033318996,7.615999784320593,0.9186583959576451,500,0.00048828125,0.9999936819076538,20260829
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,per_token_head,8,partial,14.175999909639359,16.095999628305435,0.6701127184515006,500,0.00048828125,0.9999936819076538,20260829
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,per_token_head,8,full,18.271999433636665,19.999999552965164,0.5002935855237809,500,0.00048828125,0.9999936819076538,20260829
