gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,per_token_head,8,full,18.271999433636665,19.999999552965164,0.5279623834985676,500,0.00048828125,0.9999936819076538,20260829
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,per_token_head,8,merge,6.816000211983919,8.1599997356534,0.8031750385010388,500,0.00048828125,0.9999936819076538,20260829
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,per_token_head,8,partial,14.175999909639359,16.063999384641647,0.650654988095599,500,0.00048828125,0.9999936819076538,20260829
