gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,16,64,4,torch.float8_e4m3fn,per_token_head,4,partial,22.36800082027912,22.6879995316267,0.3764589697225148,500,0.00048828125,0.9999935626983643,20260829
NVIDIA B300 SXM6 AC,16,64,4,torch.float8_e4m3fn,per_token_head,4,full,26.43200010061264,26.688000187277794,0.33691048223300474,500,0.00048828125,0.9999935626983643,20260829
NVIDIA B300 SXM6 AC,16,64,4,torch.float8_e4m3fn,per_token_head,4,merge,6.943999789655209,7.455999962985516,0.6278887661421324,500,0.00048828125,0.9999935626983643,20260829
