gpu,batch,dtype,mode,num_chunks,median_us,p95_us,stdev_us,iterations
NVIDIA B300 SXM6 AC,16,torch.float8_e4m3fn,graph,4,28.960000723600388,29.440000653266907,0.6232673856893449,500
NVIDIA B300 SXM6 AC,8,torch.float8_e4m3fn,graph,8,20.640000700950623,20.959999412298203,0.7877317795950689,500
NVIDIA B300 SXM6 AC,4,torch.float8_e4m3fn,graph,16,14.560000039637089,15.039999969303608,0.8502755385579559,500
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,graph,16,10.463999584317207,11.231999844312668,1.6652083674397011,500
