gpu,batch,dtype,mode,num_chunks,median_us,p95_us,stdev_us,iterations
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,graph,16,10.623999871313572,11.90400030463934,5.522541088888053,500
NVIDIA B300 SXM6 AC,4,torch.float8_e4m3fn,graph,16,14.688000082969666,15.00799972563982,0.5361340132845642,500
NVIDIA B300 SXM6 AC,8,torch.float8_e4m3fn,graph,8,20.767999812960625,21.12000063061714,0.4656263294569462,500
NVIDIA B300 SXM6 AC,16,torch.float8_e4m3fn,graph,4,28.991999104619026,29.791999608278275,0.539975285808278,500
