gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,16,16,1,torch.float8_e4m3fn,per_token_head,16,full,14.14399966597557,14.336000196635723,0.1934399040044071,500,0.00048828125,0.9999938011169434,20260829
NVIDIA B300 SXM6 AC,16,16,1,torch.float8_e4m3fn,per_token_head,16,merge,6.84799998998642,7.199999876320362,0.621112171143877,500,0.00048828125,0.9999938011169434,20260829
NVIDIA B300 SXM6 AC,16,16,1,torch.float8_e4m3fn,per_token_head,16,partial,10.080000385642052,12.095999903976917,0.8206180997314519,500,0.00048828125,0.9999938011169434,20260829
