gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,1,16,1,torch.float8_e4m3fn,per_token_head,16,merge,6.912000011652708,7.488000206649303,1.0162747155901506,500,0.00048828125,0.9999932050704956,20260829
NVIDIA B300 SXM6 AC,1,16,1,torch.float8_e4m3fn,per_token_head,16,partial,8.031999692320824,10.015999898314476,0.8870012046793206,500,0.00048828125,0.9999932050704956,20260829
NVIDIA B300 SXM6 AC,1,16,1,torch.float8_e4m3fn,per_token_head,16,full,10.080000385642052,12.000000104308128,0.7810477296424548,500,0.00048828125,0.9999932050704956,20260829
