gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,scalar,16,partial,10.015999898314476,10.367999784648418,0.27616614027700914,500,0.00048828125,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,scalar,16,full,12.095999903976917,12.384000234305859,0.21016517608198582,500,0.00048828125,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,scalar,16,merge,6.912000011652708,7.391999941319227,0.8311928645713128,500,0.00048828125,0.9999952912330627,20260829
