gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,1,16,1,torch.float8_e4m3fn,scalar,16,full,10.048000141978264,10.912000201642513,0.4435431136751445,500,0.00048828125,0.9999946355819702,20260829
NVIDIA B300 SXM6 AC,1,16,1,torch.float8_e4m3fn,scalar,16,merge,6.816000211983919,7.360000163316727,0.7692404474498166,500,0.00048828125,0.9999946355819702,20260829
NVIDIA B300 SXM6 AC,1,16,1,torch.float8_e4m3fn,scalar,16,partial,8.063999935984612,9.184000082314014,0.566082949977017,500,0.00048828125,0.9999946355819702,20260829
