gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,16,16,1,torch.float8_e4m3fn,scalar,16,full,14.14399966597557,14.431999996304512,0.21643566821383523,500,0.00048828125,0.9999955296516418,20260829
NVIDIA B300 SXM6 AC,16,16,1,torch.float8_e4m3fn,scalar,16,merge,6.752000190317631,7.168000098317862,0.9915969449250888,500,0.00048828125,0.9999955296516418,20260829
NVIDIA B300 SXM6 AC,16,16,1,torch.float8_e4m3fn,scalar,16,partial,12.06399966031313,12.28800043463707,0.46170385365994165,500,0.00048828125,0.9999955296516418,20260829
