gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,scalar,16,merge,6.87999976798892,7.327999919652939,1.1099975757698226,500,0.00048828125,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,scalar,16,partial,10.048000141978264,10.304000228643417,0.22527730386651332,500,0.00048828125,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,scalar,16,full,12.095999903976917,12.35199999064207,0.19223878211300224,500,0.00048828125,0.9999952912330627,20260829
