batch,num_heads,num_kv_heads,backend,runs,mean_of_medians_us,stdev_of_medians_us,run_cv_pct,min_median_us,max_median_us,paired_cutlass_vs_triton_mean_pct,paired_cutlass_vs_triton_stdev_pct
8,64,4,cutlass,10,20.099200308322906,0.05049553277676221,0.2512315515152732,19.999999552965164,20.128000527620316,-0.03184769882473515,0.06369580141942537
8,64,4,triton,10,20.105600357055664,0.047571782223681344,0.23660960816316517,19.999999552965164,20.160000771284103,-0.03184769882473515,0.06369580141942537
16,64,4,cutlass,10,20.156800746917725,0.009600073099136353,0.04762696828565092,20.128000527620316,20.160000771284103,-28.90518878597214,0.033860303189646855
16,64,4,triton,10,28.351999819278717,0.0,0.0,28.351999819278717,28.351999819278717,-28.90518878597214,0.033860303189646855
32,16,1,cutlass,10,20.153600722551346,0.012800097465515137,0.06351270743987782,20.128000527620316,20.160000771284103,-0.0317462722614259,0.0634925445228518
32,16,1,triton,10,20.160000771284103,0.0,0.0,20.160000771284103,20.160000771284103,-0.0317462722614259,0.0634925445228518
64,16,1,cutlass,10,20.14720067381859,0.01567685372420214,0.07781157282348565,20.128000527620316,20.160000771284103,-28.939049089161788,0.05529364356704567
64,16,1,triton,10,28.351999819278717,0.0,0.0,28.351999819278717,28.351999819278717,-28.939049089161788,0.05529364356704567
