commit,gpu,batch,num_heads,num_kv_heads,backend,component,execution,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
fc8160616c7a,NVIDIA B300 SXM6 AC,1,64,4,cutlass,metadata,eager,13.008000329136848,14.047999866306782,2.0475785320098665,500,0.0020751953125,0.9997149109840393,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,1,64,4,cutlass,attention,eager,30.17600066959858,31.87200054526329,2.1345702759482896,500,0.0020751953125,0.9997149109840393,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,1,64,4,cutlass,full,eager,39.29600119590759,47.32799902558327,2.931312334159163,500,0.0020751953125,0.9997149109840393,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,1,64,4,triton,full,eager,39.37599994242191,45.184001326560974,2.021069481517648,500,0.000244140625,0.9999952912330627,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,1,64,4,cutlass,metadata,graph,7.615999784320593,8.1599997356534,0.9345463293705661,500,0.0020751953125,0.9997149109840393,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,1,64,4,cutlass,attention,graph,30.079999938607216,30.33600002527237,0.29562459448985423,500,0.0020751953125,0.9997149109840393,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,1,64,4,cutlass,full,graph,30.112000182271004,31.87200054526329,0.5581048726734584,500,0.0020751953125,0.9997149109840393,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,1,64,4,triton,full,graph,15.936000272631645,17.791999503970146,0.8918096143090013,500,0.000244140625,0.9999952912330627,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,4,64,4,cutlass,metadata,eager,13.024000450968742,13.98400031030178,1.4619956497466682,500,0.002197265625,0.9997199177742004,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,4,64,4,cutlass,attention,eager,32.06399828195572,34.2399999499321,2.0159238572269196,500,0.002197265625,0.9997199177742004,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,4,64,4,cutlass,full,eager,39.32800143957138,47.42399975657463,3.0710487816470287,500,0.002197265625,0.9997199177742004,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,4,64,4,triton,full,eager,40.44799879193306,46.65600135922432,2.0326310999123347,500,0.00048828125,0.9999953508377075,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,4,64,4,cutlass,metadata,graph,7.552000228315592,8.25599953532219,1.2794233723909032,500,0.002197265625,0.9997199177742004,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,4,64,4,cutlass,attention,graph,30.079999938607216,30.368000268936157,0.2064146427020068,500,0.002197265625,0.9997199177742004,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,4,64,4,cutlass,full,graph,32.127998769283295,32.416000962257385,0.24617169056710084,500,0.002197265625,0.9997199177742004,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,4,64,4,triton,full,graph,21.888000890612602,22.207999601960182,0.23834240488987696,500,0.00048828125,0.9999953508377075,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,8,64,4,cutlass,metadata,eager,13.024000450968742,14.047999866306782,1.3639628133777957,500,0.002349853515625,0.9997122287750244,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,8,64,4,cutlass,attention,eager,32.19199925661087,34.2399999499321,1.5704032146635096,500,0.002349853515625,0.9997122287750244,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,8,64,4,cutlass,full,eager,40.32000154256821,47.520000487565994,3.263783524601983,500,0.002349853515625,0.9997122287750244,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,8,64,4,triton,full,eager,40.352001786231995,47.520000487565994,2.3638478306010864,500,0.00048828125,0.9999952912330627,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,8,64,4,cutlass,metadata,graph,7.552000228315592,8.25599953532219,1.0157286847019211,500,0.002349853515625,0.9997122287750244,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,8,64,4,cutlass,attention,graph,30.112000182271004,30.368000268936157,0.21141196410764698,500,0.002349853515625,0.9997122287750244,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,8,64,4,cutlass,full,graph,32.14399889111519,32.416000962257385,0.19890479449767137,500,0.002349853515625,0.9997122287750244,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,8,64,4,triton,full,graph,32.127998769283295,32.48000144958496,0.24202659449998312,500,0.00048828125,0.9999952912330627,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,16,64,4,cutlass,metadata,eager,12.943999841809273,14.08000010997057,1.4784899163426415,500,0.0028076171875,0.9997153282165527,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,16,64,4,cutlass,attention,eager,34.17599946260452,35.360001027584076,1.1081606165312734,500,0.0028076171875,0.9997153282165527,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,16,64,4,cutlass,full,eager,40.16000032424927,47.520000487565994,3.118208261906447,500,0.0028076171875,0.9997153282165527,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,16,64,4,triton,full,eager,48.51200059056282,49.6320016682148,1.4454624177714979,500,0.00048828125,0.9999952912330627,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,16,64,4,cutlass,metadata,graph,7.519999984651804,8.25599953532219,1.1573448808864484,500,0.0028076171875,0.9997153282165527,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,16,64,4,cutlass,attention,graph,32.09599852561951,32.255999743938446,0.6738209543373879,500,0.0028076171875,0.9997153282165527,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,16,64,4,cutlass,full,graph,32.15999901294708,34.20799970626831,0.9096169394631985,500,0.0028076171875,0.9997153282165527,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,16,64,4,triton,full,graph,48.54400083422661,48.70399832725525,0.20457139757068452,500,0.00048828125,0.9999952912330627,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,32,64,4,cutlass,metadata,eager,12.927999719977379,13.98400031030178,1.5281284693021804,500,0.00244140625,0.9997045993804932,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,32,64,4,cutlass,attention,eager,35.19999980926514,35.45600175857544,2.495573043247431,500,0.00244140625,0.9997045993804932,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,32,64,4,cutlass,full,eager,36.22400015592575,37.376001477241516,1.6404167717744764,500,0.00244140625,0.9997045993804932,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,32,64,4,triton,full,eager,78.23999971151352,79.32800054550171,1.8325658090487429,500,0.00048828125,0.9999948740005493,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,32,64,4,cutlass,metadata,graph,7.296000141650438,8.224000222980976,0.9654194371614374,500,0.00244140625,0.9997045993804932,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,32,64,4,cutlass,attention,graph,34.20799970626831,36.25600039958954,0.8635190093690468,500,0.00244140625,0.9997045993804932,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,32,64,4,cutlass,full,graph,36.25600039958954,36.41600161790848,0.1986189119267869,500,0.00244140625,0.9997045993804932,20260829
fc8160616c7a,NVIDIA B300 SXM6 AC,32,64,4,triton,full,graph,77.2159993648529,79.23199981451035,0.6934821232500847,500,0.00048828125,0.9999948740005493,20260829
