commit,gpu,batch,num_heads,num_kv_heads,effective_kv_len,backend,component,execution,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
3dbb4e609578,NVIDIA B300 SXM6 AC,8,64,4,512,cutlass,metadata,eager,12.896000407636166,13.856000266969204,1.2796180452337858,500,0.0052490234375,0.9997235536575317,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,8,64,4,512,cutlass,attention,eager,28.64000014960766,30.17600066959858,2.693161044872226,500,0.0052490234375,0.9997235536575317,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,8,64,4,512,cutlass,full,eager,37.248000502586365,44.096000492572784,4.112268490251873,500,0.0052490234375,0.9997235536575317,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,8,64,4,512,triton,full,eager,38.30400109291077,44.319998472929,1.9291963729429829,500,0.0009765625,0.9999949932098389,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,8,64,4,512,cutlass,metadata,graph,6.496000103652477,7.455999962985516,0.8636834916294518,500,0.0052490234375,0.9997235536575317,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,8,64,4,512,cutlass,attention,graph,26.048000901937485,26.208000257611275,0.17267528920075165,500,0.0052490234375,0.9997235536575317,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,8,64,4,512,cutlass,full,graph,28.063999488949776,28.255999088287354,0.37995546591864504,500,0.0052490234375,0.9997235536575317,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,8,64,4,512,triton,full,graph,32.15999901294708,32.35200047492981,0.22492158140099378,500,0.0009765625,0.9999949932098389,20260837
