gpu,batch,num_heads,num_kv_heads,dtype,scale_mode,num_chunks,runs,iterations_per_mode_per_run,mean_partial_us,mean_merge_only_us,mean_full_us,mean_incremental_merge_us,sample_std_incremental_merge_us,mean_eliminate_merge_upper_bound_pct,sample_std_upper_bound_pct,min_upper_bound_pct,max_upper_bound_pct
NVIDIA B300 SXM6 AC,1,64,4,torch.float8_e4m3fn,per_token_head,16,10,500,10.03200002014637,6.864000018686056,12.086399830877781,2.054399810731411,0.020238731131588205,16.997528599111334,0.15583967394319334,16.710871809511797,17.195767379086863
NVIDIA B300 SXM6 AC,8,64,4,torch.float8_e4m3fn,per_token_head,8,10,500,14.175999909639359,6.950399978086352,18.265599384903908,4.089599475264549,0.011187379566060505,22.389600248291494,0.04757375317290282,22.280698798318106,22.416810699200436
NVIDIA B300 SXM6 AC,16,64,4,torch.float8_e4m3fn,per_token_head,4,10,500,22.358400747179985,6.84799998998642,26.454400271177292,4.095999523997307,0.021333495775858562,15.48322016653237,0.07470216693304649,15.37529988220348,15.598547891320175
