commit,job_id,batch,num_heads,num_kv_heads,chunks,kernel,grid_ctas,waves_per_sm,registers_per_thread,dynamic_smem_kib,duration_us,dram_gbytes_per_s,estimated_dram_bytes,dram_throughput_pct,l2_hit_pct,tensor_pipe_pct,achieved_occupancy_pct,issue_active_pct,max_abs_error,cosine_similarity
ac55b6fdd5095d44741d1461f25f8615f0789f95,11875_0,1,16,1,16,partial,16,0.05,195,73.732,13.088,43.344743,567296,0.567419,22.955416,0.382675,6.146923,21.618048,0.00048828125,0.9999946355819702
ac55b6fdd5095d44741d1461f25f8615f0789f95,11876_1,1,16,1,16,merge,16,0.01,32,2.048,6.656,11.038462,73472,0.145678,25.681758,0,6.553542,8.271626,0.00048828125,0.9999946355819702
ac55b6fdd5095d44741d1461f25f8615f0789f95,11876_2,16,16,1,16,partial,256,0.58,168,73.732,18.080,469.989381,8497408,6.148218,5.245816,4.557514,10.978178,30.194552,0.00048828125,0.9999955296516418
ac55b6fdd5095d44741d1461f25f8615f0789f95,11876_3,16,16,1,16,merge,256,0.11,32,2.048,8.032,133.450199,1071872,1.748956,8.462884,0,10.864185,10.689338,0.00048828125,0.9999955296516418
