commit,gpu,batch,num_heads,num_kv_heads,backend,component,execution,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
a51c14620c2e,NVIDIA B300 SXM6 AC,32,16,1,cutlass,metadata,eager,12.319999746978283,13.663999736309052,1.4156758671331238,500,0.002197265625,0.9997151494026184,20260831
a51c14620c2e,NVIDIA B300 SXM6 AC,32,16,1,cutlass,attention,eager,27.35999971628189,34.40000116825104,2.5500667585748973,500,0.002197265625,0.9997151494026184,20260831
a51c14620c2e,NVIDIA B300 SXM6 AC,32,16,1,cutlass,full,eager,37.55199909210205,45.3759990632534,4.2974465362911065,500,0.002197265625,0.9997151494026184,20260831
a51c14620c2e,NVIDIA B300 SXM6 AC,32,16,1,triton,full,eager,37.567999213933945,43.58400031924248,1.9566670409852842,500,0.00048828125,0.9999953508377075,20260831
a51c14620c2e,NVIDIA B300 SXM6 AC,32,16,1,cutlass,metadata,graph,6.976000033318996,7.424000184983015,0.7181244663255897,500,0.002197265625,0.9997151494026184,20260831
a51c14620c2e,NVIDIA B300 SXM6 AC,32,16,1,cutlass,attention,graph,18.112000077962875,20.128000527620316,0.7993950896085681,500,0.002197265625,0.9997151494026184,20260831
a51c14620c2e,NVIDIA B300 SXM6 AC,32,16,1,cutlass,full,graph,20.128000527620316,20.35200037062168,0.1651087922963407,500,0.002197265625,0.9997151494026184,20260831
a51c14620c2e,NVIDIA B300 SXM6 AC,32,16,1,triton,full,graph,20.160000771284103,20.38400061428547,0.17100735993907254,500,0.00048828125,0.9999953508377075,20260831
