gpu,batch,num_heads,num_kv_heads,dtype,num_chunks,runs,iterations_per_mode_per_run,mean_partial_us,mean_merge_only_us,mean_full_us,mean_incremental_merge_us,sample_std_incremental_merge_us,mean_eliminate_merge_upper_bound_pct,sample_std_upper_bound_pct,min_upper_bound_pct,max_upper_bound_pct
NVIDIA B300 SXM6 AC,1,16,1,torch.float8_e4m3fn,16,10,500,8.091199910268188,6.77760005928576,10.060800239443779,1.9696003291755915,0.07559434865264983,19.57744695130544,0.7639912999992472,18.41269932196393,20.31746641833863
NVIDIA B300 SXM6 AC,8,16,1,torch.float8_e4m3fn,16,10,500,10.043200105428696,6.720000132918358,12.095999903976917,2.0527997985482216,0.010799259153629932,16.970897940180233,0.08927959027247766,16.93121509802024,17.195767379086863
NVIDIA B300 SXM6 AC,16,16,1,torch.float8_e4m3fn,16,10,500,12.060799915343523,6.758400052785873,14.143999759107828,2.083199843764305,0.02361160055157687,14.72846991670322,0.1625575408878834,14.479636668298763,14.932122227662546
