commit,gpu,batch,num_heads,num_kv_heads,effective_kv_len,backend,component,execution,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
3dbb4e609578,NVIDIA B300 SXM6 AC,32,16,1,128,cutlass,metadata,eager,12.608000077307224,13.567999936640263,1.291548360254986,500,0.009765625,0.9997351169586182,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,32,16,1,128,cutlass,attention,eager,28.063999488949776,33.055998384952545,3.3910618159883934,500,0.009765625,0.9997351169586182,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,32,16,1,128,cutlass,full,eager,37.408001720905304,44.38399896025658,3.4568849441220384,500,0.009765625,0.9997351169586182,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,32,16,1,128,triton,full,eager,38.30400109291077,43.455999344587326,2.1258959370987536,500,0.001953125,0.9999972581863403,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,32,16,1,128,cutlass,metadata,graph,6.399999838322401,6.976000033318996,1.074465620304793,500,0.009765625,0.9997351169586182,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,32,16,1,128,cutlass,attention,graph,24.000000208616257,24.224000051617622,0.31594153456687146,500,0.009765625,0.9997351169586182,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,32,16,1,128,cutlass,full,graph,24.000000208616257,25.696000084280968,0.5473075708262242,500,0.009765625,0.9997351169586182,20260837
3dbb4e609578,NVIDIA B300 SXM6 AC,32,16,1,128,triton,full,graph,19.90400068461895,21.824000403285027,0.7132598021761467,500,0.001953125,0.9999972581863403,20260837
