gpu,batch,dtype,num_chunks,runs,iterations_per_run,mean_run_median_us,sample_std_run_median_us,cv_pct,significance_threshold_pct,min_run_median_us,max_run_median_us
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,16,10,500,10.547199938446283,0.07867365786588687,0.7459198491071399,5.0,10.463999584317207,10.688000358641148
NVIDIA B300 SXM6 AC,4,torch.float8_e4m3fn,16,10,500,14.663999993354082,0.04349210087088278,0.2965909771589878,5.0,14.560000039637089,14.70400020480156
NVIDIA B300 SXM6 AC,8,torch.float8_e4m3fn,8,10,500,20.72479985654354,0.05844792213550543,0.2820192356021783,5.0,20.640000700950623,20.800000056624413
NVIDIA B300 SXM6 AC,16,torch.float8_e4m3fn,4,10,500,28.972799889743328,0.04817699183005952,0.1662835211418924,5.0,28.896000236272812,29.055999591946602
