commit,job_id,batch,chunks,kernel,grid_ctas,waves_per_sm,registers_per_thread,dynamic_smem_kib,duration_us,dram_gbytes_per_s,estimated_dram_bytes,dram_throughput_pct,l2_hit_pct,tensor_pipe_pct,achieved_occupancy_pct,issue_active_pct,no_eligible_pct,max_abs_error,cosine_similarity
9eb1d6e6e8011d1f5b3f93622fb99a3b507b7f76,11854_0,1,16,partial,64,0.22,195,73.732,13.600,158.305882,2152960,2.07,8.360931,1.502513,6.246509,23.136378,76.86,0.000244140625,0.9999952912330627
9eb1d6e6e8011d1f5b3f93622fb99a3b507b7f76,11855_1,1,16,merge,64,0.03,32,2.048,7.776,35.127572,273152,0.46,12.498138,0,6.192147,7.701555,92.30,0.000244140625,0.9999952912330627
9eb1d6e6e8011d1f5b3f93622fb99a3b507b7f76,11855_2,16,4,partial,256,0.58,168,73.732,44.288,764.595376,33862400,9.98,2.019432,7.515180,11.264573,34.542176,65.46,0.00048828125,0.999995231628418
9eb1d6e6e8011d1f5b3f93622fb99a3b507b7f76,11855_3,16,4,merge,1024,0.43,22,2.048,9.728,110.000000,1070080,1.44,9.431330,0,38.833934,18.506165,81.49,0.00048828125,0.999995231628418
