commit,gpu,batch,num_heads,num_kv_heads,effective_kv_len,backend,component,execution,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,2048,cutlass,metadata,eager,12.736000120639801,13.504000380635262,1.1774585053527766,500,0.00244140625,0.9997127652168274,20260831
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,2048,cutlass,attention,eager,34.11199897527695,34.432001411914825,1.8588104558625351,500,0.00244140625,0.9997127652168274,20260831
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,2048,cutlass,full,eager,37.28000074625015,43.42399910092354,2.6719516137818276,500,0.00244140625,0.9997127652168274,20260831
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,2048,triton,full,eager,48.54400083422661,49.695998430252075,1.4137084801560293,500,0.00048828125,0.9999953508377075,20260831
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,2048,cutlass,metadata,graph,6.560000125318766,7.135999854654074,0.7209948026858015,500,0.00244140625,0.9997127652168274,20260831
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,2048,cutlass,attention,graph,32.15999901294708,32.255999743938446,0.7086880824578764,500,0.00244140625,0.9997127652168274,20260831
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,2048,cutlass,full,graph,32.15999901294708,32.44800120592117,0.23041105235791617,500,0.00244140625,0.9997127652168274,20260831
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,2048,triton,full,graph,48.54400083422661,48.767998814582825,0.39164420546420114,500,0.00048828125,0.9999953508377075,20260831
