commit,gpu,batch,num_heads,num_kv_heads,effective_kv_len,backend,component,execution,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,128,cutlass,metadata,eager,12.768000364303589,13.504000380635262,1.3354100788139156,500,0.009368896484375,0.9997227191925049,20260838
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,128,cutlass,attention,eager,28.031999245285988,32.19199925661087,2.409555015703864,500,0.009368896484375,0.9997227191925049,20260838
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,128,cutlass,full,eager,38.30400109291077,45.1200008392334,3.3962253629331594,500,0.009368896484375,0.9997227191925049,20260838
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,128,triton,full,eager,38.30400109291077,43.2640016078949,1.879549888823331,500,0.001953125,0.9999972581863403,20260838
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,128,cutlass,metadata,graph,6.463999859988689,7.071999832987785,0.6221359867516043,500,0.009368896484375,0.9997227191925049,20260838
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,128,cutlass,attention,graph,24.000000208616257,24.159999564290047,0.1976032873189033,500,0.009368896484375,0.9997227191925049,20260838
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,128,cutlass,full,graph,26.016000658273697,26.176000013947487,0.1515788211180219,500,0.009368896484375,0.9997227191925049,20260838
3dbb4e609578,NVIDIA B300 SXM6 AC,64,16,1,128,triton,full,graph,19.90400068461895,20.06400004029274,0.2609567269617992,500,0.001953125,0.9999972581863403,20260838
