gpu,batch,chunks,is_upstream_default,partial_median_us,merge_median_us,total_median_us,graph_median_us,merge_fraction,total_p95_us,graph_p95_us,total_stdev_us,graph_stdev_us,max_abs_error,cosine,iterations
NVIDIA B300 SXM6 AC,1,1,False,109.58399996161461,6.175999995321035,115.72800204157829,93.63199770450592,0.05336651360404673,121.85599654912949,94.40000355243683,3.771789818741791,0.769852448312016,0.000244140625,0.9999970197677612,100
NVIDIA B300 SXM6 AC,1,2,False,68.31999868154526,6.175999995321035,74.49600100517273,51.52000114321709,0.08290377888730156,77.85599678754807,52.83199995756149,1.9968277971739397,1.0249801126896405,0.000244140625,0.9999948740005493,100
NVIDIA B300 SXM6 AC,1,4,False,47.21600003540516,8.224000222980976,55.456001311540604,31.26399964094162,0.14829775008082904,57.792000472545624,32.48000144958496,2.5258169140013935,0.7046907498958521,0.000244140625,0.9999951720237732,100
NVIDIA B300 SXM6 AC,1,8,False,36.12799942493439,8.1279999576509,44.224001467227936,22.08000048995018,0.18379159931229042,55.39200082421303,22.6879995316267,4.811207125528863,0.44037060023869423,0.000244140625,0.999995231628418,100
NVIDIA B300 SXM6 AC,1,16,True,31.02399967610836,11.52000017464161,42.67200082540512,16.143999993801117,0.26996625308891264,48.64000156521797,17.855999991297722,6.037565677401349,0.932313815515161,0.000244140625,0.9999952912330627,100
NVIDIA B300 SXM6 AC,4,1,False,113.66400122642517,6.255999905988574,120.81600353121758,97.85600006580353,0.0517812187387252,123.55200201272964,98.78399968147278,3.821830570506,0.8274889808102692,0.00048828125,0.9999970197677612,100
NVIDIA B300 SXM6 AC,4,2,False,70.23999840021133,8.191999979317188,78.49600166082382,54.976001381874084,0.10436200323570993,80.48000186681747,55.80800026655197,2.774118629432023,1.3613733434164856,0.00048828125,0.9999951124191284,100
NVIDIA B300 SXM6 AC,4,4,False,48.54400083422661,8.191999979317188,56.752000004053116,34.12799909710884,0.14434733540196173,62.52799928188324,34.84800085425377,2.8463164068677123,0.6322169841045601,0.00048828125,0.9999954104423523,100
NVIDIA B300 SXM6 AC,4,8,False,37.63199970126152,10.06399979814887,47.53600060939789,24.65599961578846,0.21171322090902223,50.27199909090996,25.119999423623085,2.039946077400392,0.9206903224684605,0.00048828125,0.9999954700469971,100
NVIDIA B300 SXM6 AC,4,16,True,35.13599932193756,9.343999903649092,44.943999499082565,22.671999409794807,0.20790316856068472,54.27199974656105,23.104000836610794,2.9710686906392363,0.6218331027608314,0.00048828125,0.9999954104423523,100
NVIDIA B300 SXM6 AC,8,1,False,113.52000012993813,8.047999814152718,120.99199742078781,97.82399982213974,0.06651679438073298,124.60800260305405,99.55199807882309,2.0516397471086196,0.9564463130017973,0.00048828125,0.9999970197677612,100
NVIDIA B300 SXM6 AC,8,2,False,69.69600170850754,8.191999979317188,77.87199690937996,54.91200089454651,0.10519827800037362,80.73599636554718,55.776000022888184,2.096357954761617,0.6585705818966368,0.00048828125,0.9999949336051941,100
NVIDIA B300 SXM6 AC,8,4,False,49.07200112938881,10.239999741315842,59.29600074887276,35.13599932193756,0.17269292383956447,61.5679994225502,36.479998379945755,1.4610787877284783,1.1783667964935294,0.00048828125,0.9999951124191284,100
NVIDIA B300 SXM6 AC,8,8,True,43.07200014591217,12.28800043463707,55.344000458717346,32.30400010943413,0.22202949430450075,58.559998869895935,33.08799862861633,1.7813574701898849,0.43674214457204913,0.00048828125,0.9999952912330627,100
NVIDIA B300 SXM6 AC,8,16,False,47.10400104522705,12.319999746978283,59.4559982419014,36.928001791238785,0.2072120578457601,61.85600161552429,37.376001477241516,1.5617348789000227,0.6217574304752128,0.00048828125,0.9999954700469971,100
NVIDIA B300 SXM6 AC,16,1,False,114.43199962377548,8.208000101149082,122.56000190973282,98.25600311160088,0.06697127915512266,124.76799637079239,99.67999905347824,2.47857448998371,0.7332539166494823,0.00048828125,0.9999969601631165,100
NVIDIA B300 SXM6 AC,16,2,False,70.64000144600868,8.224000222980976,78.84799689054489,55.58399856090546,0.10430195499319225,81.95199817419052,57.40800127387047,1.654663466638338,0.8305625044366088,0.00048828125,0.9999948143959045,100
NVIDIA B300 SXM6 AC,16,4,True,60.095999389886856,12.319999746978283,72.51200079917908,48.75199869275093,0.1699029072594251,77.95199751853943,49.536000937223434,2.0793334104746246,0.5821487349017763,0.00048828125,0.999995231628418,100
NVIDIA B300 SXM6 AC,16,8,False,65.5680000782013,16.416000202298164,82.06399902701378,57.66399949789047,0.20003899879281237,84.44800227880478,58.94400179386139,2.7667450767689195,0.7286943639944325,0.00048828125,0.9999952912330627,100
NVIDIA B300 SXM6 AC,16,16,False,60.01599878072739,16.383999958634377,76.4320008456707,53.02400141954422,0.21436047437403188,79.00799810886383,53.85600030422211,3.54141398660617,0.502729857194081,0.00048828125,0.9999954700469971,100
