gpu,batch,dtype,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,16,merge,6.768000079318881,7.23200011998415,0.6784083642273994,500,0.000244140625,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,16,partial,8.1599997356534,10.080000385642052,0.8960440164231122,500,0.000244140625,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,16,full,10.304000228643417,12.128000147640705,0.9142788311019706,500,0.000244140625,0.9999952912330627,20260829
