gpu,batch,dtype,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,16,partial,8.191999979317188,10.080000385642052,1.0200958298971017,500,0.000244140625,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,16,full,10.33599954098463,12.128000147640705,0.9074515553098186,500,0.000244140625,0.9999952912330627,20260829
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,16,merge,6.943999789655209,7.424000184983015,0.6288464744403537,500,0.000244140625,0.9999952912330627,20260829
