gpu,batch,dtype,num_chunks,mode,median_us,p95_us,stdev_us,iterations,max_abs_error,cosine_similarity,seed
NVIDIA B300 SXM6 AC,16,torch.float8_e4m3fn,4,partial,24.383999407291412,26.27200074493885,0.6392779753852994,500,0.00048828125,0.999995231628418,20260829
NVIDIA B300 SXM6 AC,16,torch.float8_e4m3fn,4,full,28.48000079393387,28.704000636935234,0.24991087447853896,500,0.00048828125,0.999995231628418,20260829
NVIDIA B300 SXM6 AC,16,torch.float8_e4m3fn,4,merge,6.976000033318996,7.199999876320362,1.458982924935236,500,0.00048828125,0.999995231628418,20260829
